id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,rating,bedrooms,beds,baths
45398984,Rental unit in New York,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76524,-73.98926,Entire home/apt,125.0,30,7,4.86,Studio,1,1
49856007,Rental unit in Brooklyn,401709949,Daniela & James,Brooklyn,Bedford-Stuyvesant,40.69842,-73.94287,Private room,55.0,30,1,No rating,1,1,2
838593419945351246,Rental unit in Brooklyn,136795744,Sergey,Brooklyn,Bushwick,40.70174053483884,-73.9199085276531,Entire home/apt,260.0,30,4,5.0,2,2,1
51818793,Loft in Brooklyn,270554496,Mar,Brooklyn,Crown Heights,40.67744952688203,-73.94611690108765,Entire home/apt,560.0,30,15,4.80,Studio,1,3
15074550,Townhouse in Brooklyn,2368191,Lexia,Brooklyn,East Flatbush,40.6615,-73.9294,Entire home/apt,124.0,30,8,4.63,3,2,1.5
45224033,Townhouse in Queens,200239515,Shogo,Queens,Woodside,40.74132,-73.89567,Private room,35.0,30,1,No rating,1,1,1
3519172,Rental unit in Brooklyn,17719747,Rhonda,Brooklyn,Fort Greene,40.69039,-73.97007,Entire home/apt,250.0,30,26,4.69,1,1,1
832643802949248880,Rental unit in New York,502304706,Leo,Manhattan,Morningside Heights,40.8042825610134,-73.95828012089349,Private room,84.0,30,1,No rating,1,1,2
40886721,Rental unit in New York,318397654,Sam,Manhattan,Midtown,40.7562,-73.96874,Entire home/apt,225.0,30,3,3.33,2,2,1
649151246743619970,Rental unit in Brooklyn,535632,Camila,Brooklyn,Bedford-Stuyvesant,40.6913,-73.93297,Entire home/apt,215.0,30,7,5.0,1,2,1
37937595,Rental unit in Brooklyn,272824348,Kay,Brooklyn,Bedford-Stuyvesant,40.68106,-73.94969,Private room,48.0,30,27,4.85,1,1,1
687247498840590058,Rental unit in Brooklyn,366337052,Scott,Brooklyn,Bedford-Stuyvesant,40.6806027,-73.9326411,Entire home/apt,150.0,30,54,4.57,2,2,1
3283409,Rental unit in Brooklyn,16593547,Mary And Josh,Brooklyn,Bedford-Stuyvesant,40.68752,-73.92381,Entire home/apt,195.0,30,192,4.97,1,1,1
772374958553252861,Rental unit in Brooklyn,373790863,Anastasia,Brooklyn,Bedford-Stuyvesant,40.69457,-73.93401,Private room,53.0,30,1,No rating,1,1,2
14195437,Rental unit in Queens,3250450,Petya,Queens,Jackson Heights,40.74684,-73.89205,Private room,39.0,30,1,No rating,2,1,1
53633241,Rental unit in Brooklyn,434043863,Jorge,Brooklyn,Bedford-Stuyvesant,40.69437,-73.94314,Private room,72.0,30,19,4.47,5,2,2.5
44511630,Rental unit in Brooklyn,800780,Anne,Brooklyn,Bedford-Stuyvesant,40.68182,-73.93579,Entire home/apt,100.0,30,1,No rating,1,1,1
966015814531483475,Rental unit in Brooklyn,228473476,Mia,Brooklyn,Bedford-Stuyvesant,40.69222157830535,-73.92749342710411,Private room,106.0,5,8,4.88,1,1,1
755446428558195160,Place to stay in Brooklyn,428703947,Irene,Brooklyn,Prospect-Lefferts Gardens,40.66247,-73.9519,Entire home/apt,110.0,30,19,4.63,1,1,1
993514,Rental unit in New York,15145088,Izi,Manhattan,Upper West Side,40.78566,-73.97271,Entire home/apt,176.0,30,13,4.77,1,2,1
53317759,Rental unit in Brooklyn,401709949,Daniela & James,Brooklyn,Bushwick,40.69992,-73.93945,Private room,49.0,30,6,4.67,1,1,2
739242,Rental unit in New York,15145088,Izi,Manhattan,Upper West Side,40.78552,-73.97435,Entire home/apt,160.0,30,19,4.89,1,2,1
53756457,Rental unit in Brooklyn,430685664,Colie,Brooklyn,Bedford-Stuyvesant,40.68706,-73.93117,Entire home/apt,150.0,30,46,4.93,1,2,1
1020291488212743193,Rental unit in Brooklyn,447283837,Shemi,Brooklyn,Prospect-Lefferts Gardens,40.6564210148457,-73.95425559284169,Entire home/apt,218.0,2,4,4.50,3,5,1
15523119,Rental unit in Brooklyn,96148809,Raymond,Brooklyn,Bedford-Stuyvesant,40.68174,-73.93403,Entire home/apt,140.0,30,192,4.44,3,4,1
33852604,Rental unit in Brooklyn,112909067,Chaya,Brooklyn,Prospect-Lefferts Gardens,40.66004,-73.94871,Entire home/apt,120.0,30,34,4.94,Studio,1,1
1012938239831892328,Rental unit in New York,517551178,Lisa,Manhattan,Upper West Side,40.78473,-73.97098,Entire home/apt,315.0,1,2,New,2,5,1
603532558526028735,Loft in Brooklyn,123527938,Victor,Brooklyn,Williamsburg,40.70496,-73.93606,Private room,68.0,30,17,4.76,5,1,1
67299,Townhouse in Brooklyn,330347,Adrienne,Brooklyn,Williamsburg,40.71516,-73.96448,Entire home/apt,167.0,30,79,4.88,1,2,1
51037782,Home in Brooklyn,229149668,Paul,Brooklyn,Bedford-Stuyvesant,40.68342,-73.95422,Private room,150.0,30,53,4.85,1,2,1
601410914087072537,Townhouse in Brooklyn,1140882,Berni,Brooklyn,Fort Greene,40.68891,-73.97866,Private room,53.0,30,26,4.15,1,1,1
39540228,Rental unit in Brooklyn,303156931,Leo,Brooklyn,Bedford-Stuyvesant,40.69379,-73.93261,Shared room,33.0,30,4,4.50,1,2,3
684914471082395602,Rental unit in Brooklyn,10716114,Kevin,Brooklyn,Fort Greene,40.68903,-73.97145,Entire home/apt,313.0,30,8,4.63,1,1,1
21618858,Loft in Brooklyn,2023993,Kelly,Brooklyn,Bushwick,40.70179,-73.93003,Private room,70.0,30,151,4.91,1,1,1.5
27538237,Rental unit in Brooklyn,7136700,Michelle,Brooklyn,Crown Heights,40.67103,-73.94604,Entire home/apt,107.0,30,125,4.68,1,1,1
665096684159385562,Guest suite in Brooklyn,26901061,Cecilia,Brooklyn,East Flatbush,40.65064,-73.94858,Entire home/apt,165.0,30,24,5.0,1,1,1
33155194,Rental unit in Brooklyn,34014150,Barry,Brooklyn,Bedford-Stuyvesant,40.68456,-73.93987,Entire home/apt,209.0,30,31,5.0,2,2,2
641277299773154251,Rental unit in Brooklyn,462385248,Stephanie,Brooklyn,Bushwick,40.6885897864786,-73.91647079628753,Private room,33.0,30,59,4.78,1,1,1
10017458,Rental unit in New York,50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74552,-73.97637,Entire home/apt,113.0,30,4,4.0,2,4,1
49193889,Rental unit in Brooklyn,396808869,Casa,Brooklyn,Bedford-Stuyvesant,40.68536952774767,-73.93766269921002,Entire home/apt,145.0,30,5,4.80,1,1,1
54049940,Rental unit in Brooklyn,307001589,Kristina,Brooklyn,Greenpoint,40.73112,-73.95648,Private room,49.0,30,1,No rating,1,1,1
22245492,Rental unit in Brooklyn,106899231,Sarah,Brooklyn,Fort Greene,40.69601,-73.97236,Entire home/apt,150.0,30,73,4.96,1,2,2
37862550,Home in Queens,286772500,Erfan,Queens,East Elmhurst,40.75625,-73.88966,Entire home/apt,245.0,30,84,4.83,3,6,1.5
40447283,Rental unit in Brooklyn,9941315,Chomwan,Brooklyn,Bushwick,40.70139,-73.93085,Entire home/apt,150.0,30,3,4.67,3,3,2
22793472,Rental unit in Brooklyn,168416827,Tom,Brooklyn,Prospect Heights,40.67546,-73.96577,Private room,71.0,30,24,4.79,1,1,1
597883789044497552,Condo in Brooklyn,452039185,Andrea,Brooklyn,Bushwick,40.68253,-73.90618,Private room,80.0,30,18,4.89,1,1,1
548041570921178790,Rental unit in Brooklyn,546370,Ekaterina,Brooklyn,Bedford-Stuyvesant,40.687434826605774,-73.93174989009202,Private room,49.0,30,13,4.85,1,1,1
571766238245027554,Boutique hotel in Queens,441793133,Ioannis,Queens,Long Island City,40.75365667644758,-73.9342710222023,Private room,238.0,1,3,4.67,1,2,1
21577526,Rental unit in Brooklyn,84491220,Maka,Brooklyn,Flatbush,40.65027,-73.96445,Private room,75.0,30,39,5.0,1,1,1
581488,Rental unit in Brooklyn,2862454,David,Brooklyn,Williamsburg,40.71583,-73.96277,Entire home/apt,282.0,30,34,5.0,2,1,1
